he1	he2	ho1	ho2	n_all	r_hat1	r_hat2	mean_r_hat	r_max1	r_max2	fst	fit	fis	wc_he	corr_fst	corr_fit	corr_fis	corr_wc_he	corr_fst_mr	corr_fit_mr	corr_fis_mr	corr_wc_he_mr	het_f	hom_f	het_m	hom_m	auto_df	auto_g	sex_df	sex_g	maf	nind
38	0	0.258034026465028	0	0.130434782608696	2	1e-04	0.328467153284671	0.164283576642336	0.5	0.458333333333333	0.126893776547265	0.572836236694124	0.510753958874971	0.130465618254702	0.336384991503684	0.815674724377304	0.722240646665967	0.180801704651544	0.0312333947737413	0.785827300887995	0.778922293608599	0.234107274423191	2	24	1	17	2	0.140375437720794	2	2.82368112359054	0.925531914893617	47
39	0.42249527410208	0.308390022675737	0.173913043478261	0.19047619047619	4	0.416798732171157	0.236363636363636	0.326581184267397	0.4375	0.479166666666667	0.0165781726150262	0.5309844143309	0.523077917727062	0.381232466636193	0.0359723421131424	0.501902486233184	0.483316158315787	0.386478778085807	-0.00806011597783994	0.486920082517466	0.491022500195998	0.39890347466981	4	22	3	12	9	8.96906116869817	9	17.2737843494491	0.772727272727273	44
40	0.277777777777778	0.449380165289256	0.0833333333333334	0.227272727272727	2	0.458333333333333	0.32824427480916	0.393288804071247	0.458333333333333	0.4375	0.044691020688517	0.609994960507625	0.591749844355632	0.372746736136064	-0.00637421127015423	0.714017736271257	0.715829101614397	0.38361970248778	-0.00236031005153729	0.711532250389165	0.71221152043021	0.383127363053105	5	21	2	15	2	0.509296360670222	2	6.27518960059826	0.75	46
41	0.416322314049587	0.142011834319526	0.227272727272727	0	2	0.293739967897271	0.729166666666667	0.511453317281969	0.4375	0.729166666666667	0.0885660560373331	0.604436871996889	0.565999126296186	0.329163260981443	0.107196058603704	0.753649452896656	0.72407094583603	0.314614883757594	-0.00652156309943219	0.779851895557623	0.781278302906433	0.337605054301213	4	16	0	12	2	4.82084426055659	2	0.134503907244622	0.785714285714286	35
42	0.118923611111111	0.498866213151927	0.0416666666666666	0.19047619047619	3	0.479166666666667	0.447368421052632	0.463267543859649	0.479166666666667	0.479166666666667	0.407695983413582	0.785925992954583	0.638574108818011	0.307424326319675	0.127971528732316	0.758585278812615	0.723157294581866	0.346069302094913	0.135150706928988	0.758902135193702	0.721225574515789	0.344333156572062	5	20	0	17	5	12.3113894357979	5	6.57719829873583	0.722222222222222	45
45	0.605263157894737	0.640495867768595	0.210526315789474	0.318181818181818	3	0.483870967741936	0.336206896551724	0.41003893214683	0.520833333333333	0.395833333333333	-0.0339994114972046	0.57274697054811	0.586795674445077	0.64929785661493	-0.0249258267897795	0.607424352872923	0.616971651151886	0.473613298489809	-0.0310132821334145	0.603403097315026	0.615332887017402	0.474709640725292	3	20	6	9	5	5.8386596629624	5	20.760258978907	0.48780487804878	41
48	0.316326530612245	0.121928166351607	0.285714285714286	0.0434782608695652	3	0.0508474576271187	0.474285714285714	0.262566585956417	0.4375	0.5	0.0299364277717114	0.302141600257553	0.280605498730945	0.221145572853647	0.103307194326781	0.633764956819334	0.591571337626932	0.313713925335381	-0.0109597787656191	0.566906991013234	0.571602136817379	0.321063168871093	4	22	3	13	5	2.26873268477827	5	11.9751354499309	0.875	44
49	0.5	0.193761814744802	0.25	0.130434782608696	2	0.333333333333333	0.19533527696793	0.264334305150632	0.375	0.458333333333333	0.281782013914005	0.619496627874816	0.470211858381914	0.361445163942851	0.194802210456829	0.667308090570763	0.586819643881549	0.380300385080287	0.150597129247974	0.660856091881099	0.600726675413002	0.396519234977115	6	20	2	16	2	1.68676493921385	2	7.14904290922014	0.691489361702128	47
51	0.342105263157895	0.28875	0.210526315789474	0.05	3	0.238095238095238	0.5625	0.400297619047619	0.520833333333333	0.5625	0.537079652281605	0.819219453632586	0.609478072721516	0.328291753291753	0.301868231138497	0.83651691668875	0.765827755442423	0.34578542278984	0.258797721036011	0.80429227327846	0.735959086640844	0.366971894402478	3	19	2	13	5	1.43557364002292	5	6.64761580952326	0.512820512820513	39
52	0.4234404536862	0.496219281663516	0.260869565217391	0.304347826086957	2	0.237569060773481	0.239669421487603	0.238619241130542	0.395833333333333	0.375	0.0825993019777297	0.453382084095064	0.404166666666667	0.474308300395257	0.0401011979892223	0.488963145800535	0.467613822281104	0.46209974834599	0.0399746847725766	0.488950046391437	0.467670335872863	0.462149477131582	10	17	3	13	2	4.79951789018931	2	11.8822071856488	0.576086956521739	46
56	0.186631944444444	0.250566893424036	0.125	0.19047619047619	3	0.197771587743733	0.136246786632391	0.167009187188062	0.4375	0.479166666666667	0.0201481612403415	0.316247538070717	0.302187907515887	0.222918973791067	-0.00673340625447986	0.45755849007737	0.46118653999894	0.300155962672296	-0.00596678213973652	0.454399044803264	0.457635217301889	0.298725126952019	3	24	3	12	5	2.96049298774404	5	12.6571303471965	0.877777777777778	45
60	0.5078125	0.475206611570248	0.416666666666667	0.363636363636364	4	0.0985915492957747	0.133004926108374	0.115798237702075	0.291666666666667	0.375	0.0267964151719975	0.246945220457501	0.226210433990963	0.505698661516349	0.0181295261832902	0.135973730077151	0.120020111650551	0.499573266656402	0.0185580116069356	0.135574119755255	0.119228756800911	0.499194681912448	11	16	5	11	9	7.18801013411908	9	22.5858861332149	0.673913043478261	46
68	0.566326530612245	0.391111111111111	0.142857142857143	0.133333333333333	5	0.597122302158273	0.491525423728814	0.544323862943544	0.666666666666667	0.645833333333333	-0.0277233521741799	0.71975562228956	0.727315354742525	0.505826187435383	-0.0115220242812859	0.692042730462939	0.695550603798396	0.35585221471541	-0.0328151403557428	0.688207416208968	0.698113852510297	0.361714566826658	2	14	2	9	14	6.85402892229079	14	6.56019696826431	0.655172413793103	29
72	0.672520661157025	0.54320987654321	0.272727272727273	0.166666666666667	5	0.416666666666667	0.530434782608696	0.473550724637681	0.416666666666667	0.5625	0.0229895504555689	0.656918036894436	0.648845144629171	0.640742955874535	-0.0105617143965989	0.731216170610203	0.734025319225273	0.436595484835016	-0.00732585109792397	0.730009244344058	0.731972771907254	0.434144163290022	5	17	3	13	14	11.2110603718281	14	14.5089790540122	0.5375	40
73	0.65599173553719	0.316840277777778	0.454545454545455	0.125	4	0.181395348837209	0.434184675834971	0.30779001233609	0.333333333333333	0.4375	0.198873409140905	0.542055682327679	0.42837458786477	0.494394912564379	0.0741844370044115	0.524441902832182	0.486336030440996	0.465082647844213	0.104290720024666	0.516462707583223	0.460162685341283	0.455685446359717	7	18	4	14	9	6.48698084042244	9	15.7265472012854	0.608695652173913	46
74	0.49875	0.571428571428571	0.15	0.333333333333333	3	0.520833333333333	0.263157894736842	0.391995614035088	0.520833333333333	0.416666666666667	-0.0225469708634797	0.552407959104625	0.562277280507309	0.557207629768605	-0.00195975332033986	0.545575494269047	0.546464312338834	0.440914307511053	-0.025121772278056	0.530610610397162	0.542113530025075	0.450819726826236	5	18	4	12	5	4.93037209756038	5	12.9328527300114	0.524390243902439	41
78	0.453686200378072	0.465973534971645	0.434782608695652	0.304347826086957	2	0.0212765957446808	0.209815950920245	0.115546273332463	0.3125	0.375	-0.0261340302408064	0.197125256673511	0.217573221757322	0.472332015810277	-0.00366718788053542	0.272232441162922	0.274891550082533	0.4687883613005	-0.0268280167486247	0.234416855693107	0.254419307012039	0.4746726020569	8	18	9	9	2	7.63426670272485	2	32.4015123247886	0.641304347826087	46
81	0.0831758034026464	0.209750566893424	0	0.142857142857143	2	0.520833333333333	0.189710610932476	0.355271972132905	0.520833333333333	0.5	0.00325453328805269	0.543281841833834	0.541790584036682	0.148800561067642	0.08060654814179	0.850329815474216	0.837207689239812	0.28787707838416	-0.0294216927488716	0.829445669536265	0.834320248285907	0.299654569342637	2	23	1	16	2	0.138977707632478	2	2.84313560320069	0.920454545454545	44
83	0.64404432132964	0.35969387755102	0.157894736842105	0.142857142857143	4	0.541666666666667	0.431472081218274	0.48656937394247	0.541666666666667	0.666666666666667	0.0478938889119776	0.73880014132712	0.7256609787176	0.55229165288588	0.0231667937595173	0.801640418701044	0.796936078716674	0.390908775456357	-0.00528038139349527	0.798888281782833	0.799944650328905	0.404641933464041	2	16	3	9	9	9.08638293346028	9	14.0836538342049	0.621212121212121	33
85	0.612476370510397	0.590702947845805	0.521739130434783	0.285714285714286	5	0.0800000000000001	0.347994825355757	0.213997412677878	0.270833333333333	0.4375	0.120947939614296	0.420928253343414	0.34125432070257	0.621014940890717	0.0991650001821382	0.301586518768007	0.224704322796957	0.548377937715085	0.0823925338357237	0.282673390819117	0.218264197239583	0.554828872780609	12	13	4	12	14	9.18390418627218	14	12.7805390763591	0.454545454545455	44
86	0.0464852607709751	0.386426592797784	0.0476190476190477	0.105263157894737	3	1e-04	0.5625	0.2813	0.541666666666667	0.5625	0.11317106180837	0.693391750852561	0.654264496857019	0.21692883524601	0.489104390223177	0.875299725046652	0.755918288262799	0.209911291942042	0.0163083411554227	0.824794881363919	0.821890206081575	0.323139975117596	3	21	0	14	5	6.78662577641889	5	3.36477324602765	0.875	40
90	0.435727788279773	0.418367346938776	0.173913043478261	0.0476190476190477	3	0.429457364341085	0.541666666666667	0.485562015503876	0.4375	0.541666666666667	-0.0168192480637116	0.740395396882554	0.744689527060192	0.445090882202683	-0.0160186017768582	0.811641640724935	0.814611308350402	0.372511325859927	-0.0253252004671001	0.833731674083175	0.837838447898209	0.374879152804014	3	21	2	15	5	4.86040365457008	5	8.20107871026052	0.715909090909091	44
91	0.161625708884688	0.209750566893424	0.0869565217391305	0.142857142857143	3	0.300380228136882	0.189710610932476	0.245045419534679	0.479166666666667	0.5	-0.0208645428310474	0.391609190647584	0.404043549533776	0.190678972511271	-0.0207946299039956	0.603106055512001	0.611191190802672	0.300557677848336	-0.0312174646592281	0.596851839018346	0.609056115903859	0.300539534125926	5	20	0	16	5	5.41136195992249	5	1.06098459629087	0.897727272727273	44
93	0.0425330812854443	0.290657439446367	0.0434782608695652	0.117647058823529	2	1e-04	0.423728813559322	0.211914406779661	0.5	0.604166666666667	0.104735522628174	0.563430384824228	0.512356821687617	0.153800982635617	0.390388139891049	0.817817153256994	0.701149438414066	0.191338961160161	0.0113977436011343	0.781761407538828	0.779245302093342	0.270405424339788	3	23	0	11	2	3.84975016375681	2	2.86586350985674	0.9125	40
94	0.666322314049587	0.498614958448753	0.136363636363636	0.105263157894737	3	0.479166666666667	0.5625	0.520833333333333	0.479166666666667	0.5625	0.0938615417165539	0.820510827563512	0.801918602178628	0.615662151284744	0.0141821104400697	0.846774115415866	0.844569786968936	0.399605726800099	0.0191967672020638	0.846597807779612	0.843595344009239	0.397743170837975	3	21	2	12	5	2.98498358261804	5	6.63297846644091	0.463414634146341	41
97	0.267561983471074	0	0.0454545454545454	0	2	0.520833333333333	1e-04	0.260466666666667	0.520833333333333	0.604166666666667	0.10978502406411	0.85554525780558	0.837730496453901	0.150307010063108	0.465009588716259	0.972643608556108	0.948865641576175	0.198785947364963	0.00396049573118479	0.960101562721904	0.959942916814945	0.283789252686736	1	22	0	15	2	4.3199797408902	2	4.23913432131802	0.914634146341463	41
98	0.158790170132325	0.165289256198347	0	0.0909090909090909	2	0.520833333333333	0.290322580645161	0.405577956989247	0.520833333333333	0.5	-0.0400504535514939	0.725617555006749	0.736183524504692	0.16846728151076	0.0369082745394029	0.912688168194971	0.909342143124247	0.297656490853539	-0.0367651307034586	0.906641197699147	0.909951830423243	0.309281326772647	2	24	0	17	2	2.91154309145094	2	0.25175473939496	0.911111111111111	45
101	0.426215277777778	0.441840277777778	0.25	0.291666666666667	3	0.260590500641849	0.204733727810651	0.23266211422625	0.375	0.354166666666667	0.0498957163484678	0.424354243542436	0.394123606889564	0.447010869565217	0.0198373902759174	0.48179030577615	0.471302323632068	0.446810003891744	0.018675991594851	0.480926614415684	0.4710479096217	0.447048209946244	7	20	4	14	5	4.21575816712013	5	17.395854879759	0.708333333333333	48
107	0.717687074829932	0.595238095238095	0.380952380952381	0.238095238095238	5	0.306501547987616	0.428571428571429	0.367536488279522	0.395833333333333	0.458333333333333	0.095372460496614	0.589164785553047	0.54585152838428	0.681547619047619	0.0394411846117613	0.48071188257513	0.459389566671163	0.510645574864184	0.0435751616684541	0.498498375393675	0.475649727498526	0.510560205778032	7	17	6	9	14	8.45834422847916	14	24.4037385633585	0.428571428571429	42
112	0.544423440453686	0.393424036281179	0.391304347826087	0.142857142857143	6	0.163636363636364	0.46723044397463	0.315433403805497	0.333333333333333	0.5	0.0417077913075173	0.464831247341285	0.441539075655314	0.488355157609816	0.0322158569453136	0.224206475839481	0.198381653876011	0.444667204890746	0.0141414368035369	0.212410296716675	0.2011128850677	0.448316295862509	6	18	4	13	20	6.96950597115286	20	16.0369069620141	0.670454545454545	44
113	0.356481481481482	0.479938271604938	0.444444444444444	0.611111111111111	4	1e-04	1e-04	1e-04	0.458333333333333	0.395833333333333	0.0250621375310688	-0.204225352112676	-0.235181644359465	0.427287581699346	0.0408947068360337	-0.742908655369523	-0.817223476704929	0.420360451558285	0.0408947068360337	-0.742908655369523	-0.817223476704929	0.420360451558285	10	11	8	5	9	3.95775516875262	9	31.4455768655803	0.708333333333333	36
116	0.365079365079365	0.492438563327032	0.428571428571429	0.565217391304348	5	1e-04	1e-04	1e-04	0.375	0.25	0.0114936629274036	-0.12252796427758	-0.135579937304075	0.440303657694962	0.0230499304875658	-0.607178182672039	-0.645097567242236	0.435177279454687	0.0230499304875658	-0.607178182672039	-0.645097567242236	0.435177279454687	13	12	8	8	14	6.60900172527141	14	31.7915053144905	0.727272727272727	44
117	0.526909722222222	0.59297520661157	0.25	0.318181818181818	6	0.356424581005587	0.301587301587301	0.329005941296444	0.375	0.395833333333333	0.00673860927718571	0.513906670306321	0.510608854593714	0.577469981434902	-0.00760208709936377	0.417788587019074	0.422181215744632	0.485442224291626	-0.00598852697878055	0.397342266325881	0.400929814295158	0.485401728199283	7	19	5	12	20	12.3049081284544	20	19.3029934469201	0.619565217391304	46
120	0.46875	0.771266540642722	0.333333333333333	0.478260869565217	8	0.168831168831169	0.234493192133132	0.20166218048215	0.333333333333333	0.291666666666667	0.258638093407746	0.528195341683751	0.363597381898205	0.635219447014082	0.211856927953666	0.208745661497326	-0.0039475909472404	0.558533756537993	0.199902435543713	0.206164583689059	0.00782673066827977	0.565739379892895	11	16	8	9	35	19.3566562501047	35	36.8771893839942	0.436170212765957	47
